product_id,product_name,subcategory_code,brand,unit_cost,list_price,weight_kg,status
PROD000001,Generic Rosyjski 185,DECO,Generic,144.8,253.01,18.09,Active
PROD000002,Generic Scene 812,CAMP,Generic,430.31,1287.65,18.3,Active
PROD000003,Generic Jajko 696,CAMP,Generic,208.96,434.26,12.07,Active
PROD000004,Generic Or 809,MUSI,Generic,39.69,77.42,14.58,Discontinued
PROD000005,Generic Rock 591,FITN,Generic,90.07,236.64,3.91,Active
PROD000006,Generic Something 737,WOME,Generic,448.88,1022.7,12.11,Active
PROD000007,Generic Draw 212,SHOE,Generic,172.09,362.96,4.53,Active
PROD000008,MobileTech Many 728,PHON,MobileTech,458.32,719.71,5.48,Active
PROD000009,EliteTech Dream 228,COMP,EliteTech,150.04,355.86,19.22,Discontinued
PROD000010,SmartDevice Podnieść 109,PHON,SmartDevice,302.7,644.27,9.71,Active
PROD000011,Generic Choose 271,CAME,Generic,205.73,522.92,2.61,Active
PROD000012,Generic Płakać 326,CAME,Generic,209.23,502.03,11.95,Active
PROD000013,,GARD,Generic,340.99,587.34,18.89,Active
PROD000014,Generic Suggest 939,CAMP,Generic,-95.23,-187.23,9.88,Active
PROD000015,Generic Really 999,FITN,Generic,10.71,17.12,2.6,Active
PROD000016,CookPro Samica 437,KITC,CookPro,307.36,915.19,9.02,Active
PROD000017,ComfortLiving Heart 954,FURN,ComfortLiving,398.0,1051.71,12.37,Active
PROD000018,Generic Kontynent 916,CYCL,Generic,467.45,1390.39,17.27,Active
PROD000019,ComfortLiving Odczuwać 541,FURN,,385.73,673.21,14.6,Active
PROD000020,Generic Ukraina 143,WOME,Generic,361.25,619.5,11.54,Active
PROD000021,CallPro Simply 407,PHON,CallPro,422.0,890.36,6.09,Active
PROD000022,Generic South 962,CYCL,Generic,370.09,735.49,13.21,Active
PROD000023,Generic Róża 756,,Generic,128.05,269.01,14.51,Discontinued
PROD000024,Generic Morze 472,FITN,Generic,406.66,773.25,12.48,Active
PROD000025,HomeKitchen Gdzie 701,KITC,HomeKitchen,14.52,28.74,14.81,Active
PROD000026,StyleHome Kto 278,FURN,StyleHome,259.13,605.56,6.75,Active
PROD000027,Generic Goal 326,BOOK,Generic,-126.91,-368.21,6.87,Active
PROD000028,Generic Simple 285,DECO,Generic,492.95,1052.28,16.92,Active
PROD000029,Generic Ty 122,CYCL,,318.6,735.36,3.23,Active
PROD000030,Generic Powiedzieć 431,SHOE,Generic,458.35,962.37,5.05,Active
PROD000030,GameStation Company 599,GAME,GameStation,355.81,728.86,10.73,Active
PROD000032,Generic Inaczej 749,MOVI,Generic,498.85,787.43,3.13,Active
PROD000033,Generic Environment 502,MENS,Generic,156.25,252.82,7.49,Active
PROD000034,AudioPro Music 428,AUDI,AudioPro,120.12,324.47,18.83,Active
PROD000035,SoundWave Składać 964,AUDI,SoundWave,128.49,381.09,18.08,Active
PROD000036,ChefTools Nie 725,KITC,ChefTools,480.69,1392.75,12.37,Active
PROD000037,GamerPro Chrześcijaństwo 808,GAME,GamerPro,251.12,661.62,9.97,Active
PROD000038,Generic Herself 916,ACCE,Generic,-119.15,-350.09,8.25,Active
