ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,ThumbNailPhoto,ThumbnailPhotoFileName,rowguid,ModifiedDate
681,Patch Kit - Red,LL-B477,Red,6.8974,11.16,,,40,104,2022-09-14 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,6BBBB6C6-83E8-47E9-AAC0-0D8F8C86C3C7,2022-09-14 00:00:00.000
682,HL Headset - Grey,BB-E922,Grey,55.4399,93.52,,,41,43,2022-12-02 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,2BF586A7-54FC-4380-868C-331639D07C97,2022-12-02 00:00:00.000
683,Rear Brakes - Blue,BB-Y388,Blue,142.6234,286.01,,19.53,11,78,2022-08-15 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,AFC27E3A-F6A2-4BBB-909E-BE932382119B,2022-08-15 00:00:00.000
684,Rear Brakes - Grey,ML-I050,Grey,82.3251,188.4,,18.14,12,47,2022-06-21 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,D790474F-C77F-4CEC-A2F0-8F4715212BA1,2022-06-21 00:00:00.000
685,"HL Road - Standard, 56",FR-Y156,,408.3672,939.33,56,3.56,5,8,2022-09-28 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,8130D675-A731-4B89-90C7-4ABEE74A2668,2022-09-28 00:00:00.000
686,LL Fork,HL-T310,,262.5744,407.57,,2.02,19,101,2022-06-21 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,0C67BA5C-5007-438C-8F09-7B4F2A3AE11A,2022-06-21 00:00:00.000
687,ML Fork - Grey,HL-A541,Grey,391.3493,621.18,,17.97,15,96,2022-09-24 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,0FD0C1C8-11AF-411A-BC78-040B4D1346AE,2022-09-24 00:00:00.000
688,Bike Wash,CA-Z494,,37.0026,73.19,,,39,34,2022-01-20 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,CF417D41-B2C6-4AF3-97A1-C2198CB84113,2022-01-20 00:00:00.000
689,HL Crankset - Silver,BB-O739,Silver,180.7868,262.73,,9.03,13,38,2022-04-02 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,96247F73-01B9-40E4-AC6F-C46856DAA790,2022-04-02 00:00:00.000
690,Water Bottle - Yellow,SO-U128,Yellow,62.1386,94.41,,,38,48,2022-01-22 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,055FA4AF-0A8E-4062-9AE4-42113FAB6ABA,2022-01-22 00:00:00.000
