ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,ThumbNailPhoto,ThumbnailPhotoFileName,rowguid,ModifiedDate
1181,New Product 1181 - Gloves,NP-S775,Grey,238.6484,397.75,54,,24,83,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,0127B6D3-A623-4CD7-BB98-F0D85D78BD79,2025-11-30 00:00:00.000
1182,New Product 1182 - Bib-Shorts,NP-S223,Blue,253.1148,421.86,58,,22,44,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,4EB0F2AA-A08C-4B80-954D-A1D9695E59A7,2025-11-30 00:00:00.000
1183,New Product 1183 - Tights,NP-I118,Black,199.7262,332.88,56,,28,92,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,C3CCC923-F190-4736-B8C5-F7AEF4C0FB0D,2025-11-30 00:00:00.000
1184,New Product 1184 - Saddles,NP-V124,Yellow,32.884,54.81,,7.01,19,74,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,8FCB1085-2689-416B-AD87-85888C080146,2025-11-30 00:00:00.000
1185,New Product 1185 - Mountain Frames,NP-J976,Multi,242.8017,404.67,,2.75,16,122,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,1FADD3D2-405D-4EFC-B5A0-436C9B64FD6A,2025-11-30 00:00:00.000
1186,New Product 1186 - Vests,NP-T435,Grey,34.1121,56.85,56,,29,110,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,3FEC84A5-50BE-4E1F-AE68-D8526D32585A,2025-11-30 00:00:00.000
1187,New Product 1187 - Bottles and Cages,NP-L918,Silver,228.595,380.99,,,32,51,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,F2834FB4-85E9-41CE-B587-0FA8A1BA8DE3,2025-11-30 00:00:00.000
1188,New Product 1188 - Tires and Tubes,NP-G358,White,122.4269,204.04,,,41,105,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,8552D501-35EE-45BD-8A4A-A57F00570403,2025-11-30 00:00:00.000
1189,New Product 1189 - Jerseys,NP-D236,Yellow,250.2834,417.14,42,,25,37,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,0AA7EB7A-8CBD-43F7-B1EA-4FAAEBB7F5BD,2025-11-30 00:00:00.000
1190,New Product 1190 - Bike Stands,NP-H882,White,49.7434,82.91,,,31,23,2025-11-30 00:00:00.000,,,0x47494638396150003100F70000...,no_image_available_small.gif,04A9589B-1B56-4203-A014-BE58B20A6400,2025-11-30 00:00:00.000
