SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
122774,242362,3,708,92.11,0.05,262.5135,C204E52F-85F8-446D-9E11-F2E772607666,2025-11-29 00:00:00.000
122774,242363,3,855,86.79,0.1,234.333,C37FDF30-A8CF-4428-B4FD-A521228E2B4F,2025-11-29 00:00:00.000
122774,242364,2,1007,37.37,0.0,74.74,827DED63-3D24-4BD0-A378-219F74643E3B,2025-11-29 00:00:00.000
122775,242365,1,682,93.52,0.05,88.844,C8EC905A-8FD9-4439-B4BE-1DB5DFEE950B,2025-11-27 00:00:00.000
122775,242366,1,766,542.06,0.1,487.854,DD08D0C8-AF26-43A6-A59E-6F4145DB4830,2025-11-27 00:00:00.000
122775,242367,2,989,521.52,0.0,1043.04,8B7611DB-2C24-40A2-9220-627CC3435ECE,2025-11-27 00:00:00.000
122776,242368,1,936,33.79,0.1,30.411,8C31A962-C974-4C6B-AE7D-CFB5327FD265,2025-11-21 00:00:00.000
122777,242369,1,815,136.44,0.0,136.44,10C5E1A8-5BBE-4AC9-8C35-F283B6530A05,2025-11-26 00:00:00.000
122778,242370,3,993,31.76,0.0,95.28,75B16DD0-5AF9-40DD-86E8-CA605F00DE13,2025-11-28 00:00:00.000
122778,242371,2,1167,42.89,0.0,85.78,0C49BF69-7C24-43A6-A286-545EA7C802C0,2025-11-28 00:00:00.000
122778,242372,1,772,86.06,0.05,81.757,D75A1B36-9B42-40EE-B7CF-BF5F95FC18C9,2025-11-28 00:00:00.000
122778,242373,2,1045,40.32,0.1,72.576,956C4F85-9B16-411C-BBAF-725247D6013D,2025-11-28 00:00:00.000
122779,242374,1,710,120.53,0.05,114.5035,0C4EBA54-F161-427F-90C2-304340D3178A,2025-11-29 00:00:00.000
122779,242375,3,895,76.11,0.1,205.497,D6CE6E1A-6947-46FA-AB64-7F43FC12D1A6,2025-11-29 00:00:00.000
122780,242376,1,904,615.31,0.05,584.5445,1D9F46EE-F7B1-4241-8E21-CC279DDCE668,2025-11-22 00:00:00.000
122780,242377,3,1101,15.67,0.1,42.309,0FC8E4A2-C639-42B2-AA97-1144F08ECF3E,2025-11-22 00:00:00.000
122780,242378,1,751,706.93,0.0,706.93,47DBE046-53CF-4428-B934-21FBD3DB21FB,2025-11-22 00:00:00.000
122780,242379,2,755,35.82,0.1,64.476,101E876B-0B02-44FE-A71A-FE96A660A17A,2025-11-22 00:00:00.000
122781,242380,1,845,702.79,0.0,702.79,9CF92A8C-891B-4EBA-B04C-6C2B63D7996D,2025-11-27 00:00:00.000
122782,242381,2,1177,407.62,0.1,733.716,B710199A-1F26-454F-9647-A66FCAFD8B26,2025-11-29 00:00:00.000
122782,242382,3,863,478.11,0.05,1362.6135,32BD36CE-7CD6-437C-B824-3437E2F82CD4,2025-11-29 00:00:00.000
122783,242383,2,856,448.84,0.05,852.796,301E1A2A-60F4-4F5A-84D4-5EFFBB6B3A55,2025-11-23 00:00:00.000
122783,242384,3,1056,144.95,0.0,434.85,A33ADF3E-B1AB-4A48-BA6A-A23301145A00,2025-11-23 00:00:00.000
122784,242385,3,1023,98.62,0.05,281.067,8CC097FD-0B9F-4B9E-938E-F35CA7DC6AED,2025-11-22 00:00:00.000
122784,242386,2,1133,141.39,0.0,282.78,48E8F266-2A60-42B9-B7EA-42E9E0946CB0,2025-11-22 00:00:00.000
122784,242387,3,867,1656.72,0.05,4721.652,7DEFC588-67E7-4B73-9134-0EAF6DF5E3DE,2025-11-22 00:00:00.000
122785,242388,3,795,281.23,0.1,759.321,7181C343-D958-43A8-BF74-9F527D8B89DF,2025-11-22 00:00:00.000
122785,242389,3,801,357.46,0.0,1072.38,FA9844A9-7A93-4D66-9FC7-19E93BBA9E6F,2025-11-22 00:00:00.000
122785,242390,3,691,81.51,0.0,244.53,6A43C774-9EF1-4F6E-A8E6-94A44B48E9DA,2025-11-22 00:00:00.000
122785,242391,3,748,433.95,0.0,1301.85,A640B0DE-ABC2-4A6A-8F44-1BED65695B4B,2025-11-22 00:00:00.000
122786,242392,3,802,118.55,0.0,355.65,3ED4C403-5990-454E-BF44-5875FC79242A,2025-11-28 00:00:00.000
122786,242393,2,1011,273.86,0.1,492.948,68D82627-BE0A-4BB6-8D31-6328362D939A,2025-11-28 00:00:00.000
122787,242394,2,879,731.07,0.05,1389.033,E845C4D2-5FE6-43BE-BDB7-D014C4DD8965,2025-11-28 00:00:00.000
122787,242395,2,877,714.05,0.0,1428.1,A423E943-C23B-48A6-BEB7-DE7F1FB448B8,2025-11-28 00:00:00.000
122787,242396,1,1062,145.59,0.0,145.59,78BCB534-9846-4D4E-926B-5075889C0D3F,2025-11-28 00:00:00.000
122787,242397,2,848,91.59,0.05,174.021,A969EFE1-7B50-4585-8DC6-0ED3DD8BA781,2025-11-28 00:00:00.000
122788,242398,3,1142,233.91,0.05,666.6435,B8BB1DDA-081C-43E7-9F44-9D4BB0193BFF,2025-11-20 00:00:00.000
122788,242399,3,706,44.8,0.0,134.4,6C52DA7D-3352-452F-B8F4-00D55E357186,2025-11-20 00:00:00.000
122788,242400,2,1082,338.02,0.0,676.04,16F20AFF-61F0-40C7-B76B-A34D03492C7E,2025-11-20 00:00:00.000
122789,242401,3,1115,59.95,0.05,170.8575,EB4136FC-CD4E-4B93-AF07-A784078B4E0A,2025-11-28 00:00:00.000
122790,242402,1,721,82.51,0.0,82.51,A47CC76F-8187-4A11-B8A6-4612FE6E6D5B,2025-11-26 00:00:00.000
122790,242403,3,878,156.52,0.0,469.56,C813F93D-D8A0-47FD-A5D5-27992073FB19,2025-11-26 00:00:00.000
122791,242404,2,981,2542.32,0.0,5084.64,9DFEE8A9-8997-41DD-9214-F2D7F2AB3F60,2025-11-26 00:00:00.000
122791,242405,1,1004,15.53,0.0,15.53,4C748A03-E30A-4DCB-959F-7AB3F9CF264C,2025-11-26 00:00:00.000
122791,242406,3,1023,98.62,0.0,295.86,CCFD7543-8E4D-455E-AEFD-56994B922F3D,2025-11-26 00:00:00.000
122792,242407,1,1008,107.97,0.0,107.97,C49E91FE-A568-4E0A-A29F-1EAA27DDBF63,2025-11-28 00:00:00.000
122792,242408,1,844,156.06,0.0,156.06,DE2044CA-B68B-463D-BAE7-AD51342A59D7,2025-11-28 00:00:00.000
122793,242409,2,1163,80.07,0.1,144.126,C9A0F8EA-67F0-4A21-8B6A-8C72B8FE1AD9,2025-11-29 00:00:00.000
122793,242410,3,816,58.26,0.05,166.041,D125DB23-8A77-4616-AE38-0C6992E5E022,2025-11-29 00:00:00.000
122794,242411,1,1078,454.28,0.05,431.566,EF33A291-472E-4006-8801-639359A6A1D8,2025-11-20 00:00:00.000
122794,242412,2,1178,359.91,0.0,719.82,7A37B4C3-111D-47C5-A9C2-F1B07DABF5A3,2025-11-20 00:00:00.000
122794,242413,1,783,325.35,0.1,292.815,A26C0DCB-2B3F-4319-9D88-D11ACACCAA97,2025-11-20 00:00:00.000
122794,242414,2,778,395.11,0.1,711.198,1A43DEF2-B5A1-4810-A72D-59A846AB2BDE,2025-11-20 00:00:00.000
122795,242415,2,945,630.77,0.05,1198.463,43081637-9900-4D13-8E26-1865D5C515EA,2025-11-20 00:00:00.000
122795,242416,3,781,156.18,0.0,468.54,A795BC9C-7B88-4594-84FE-7998BDFC7672,2025-11-20 00:00:00.000
122795,242417,2,731,2377.22,0.0,4754.44,EF40DB21-B999-426F-9249-0D4EE2B0B2EB,2025-11-20 00:00:00.000
122795,242418,3,745,434.51,0.0,1303.53,7E7C5A53-E560-4536-9BAD-CA1C3E85DEB1,2025-11-20 00:00:00.000
122796,242419,1,1223,115.39,0.1,103.851,1505F907-0DAD-4A1B-B678-B27D01F647A5,2025-11-27 00:00:00.000
122796,242420,3,898,87.14,0.1,235.278,26C766B4-9945-46DD-ABD4-13DFD7E11AFD,2025-11-27 00:00:00.000
122796,242421,1,1143,117.28,0.0,117.28,4DE8AC2A-5EE6-46F8-B1D4-5A498F1D492F,2025-11-27 00:00:00.000
122796,242422,3,845,702.79,0.0,2108.37,960DFF4A-6993-443D-A23E-B74520E7028A,2025-11-27 00:00:00.000
122797,242423,2,1159,50.99,0.0,101.98,9F06B67A-E255-43D5-A0EB-364D78B388FD,2025-11-22 00:00:00.000
122798,242424,3,725,315.87,0.05,900.2295,025C692E-284B-480A-ABF8-B1B45A567E33,2025-11-29 00:00:00.000
122799,242425,1,1148,67.55,0.0,67.55,28E84B4C-4CC9-46E7-9F10-B3506636C4A4,2025-11-27 00:00:00.000
122799,242426,3,1016,540.13,0.0,1620.39,7EF7A651-08F5-43D0-A7AA-0A31258D83DE,2025-11-27 00:00:00.000
122799,242427,2,736,222.42,0.1,400.356,2CAE1085-32C1-4C00-98F9-904669BCAA06,2025-11-27 00:00:00.000
122799,242428,2,1166,639.67,0.05,1215.373,3AF3F22C-866E-4983-A687-24B0ED52EFD7,2025-11-27 00:00:00.000
122800,242429,2,993,31.76,0.1,57.168,418BD2ED-06D4-4699-B4DF-CBC410099AA7,2025-11-25 00:00:00.000
122800,242430,2,899,440.78,0.05,837.482,82D2A27C-E4CC-4CBF-A145-DFA2AE3E3208,2025-11-25 00:00:00.000
122800,242431,3,829,574.51,0.1,1551.177,343B8B53-CCF0-400B-AB1E-BD49A29E722D,2025-11-25 00:00:00.000
122801,242432,1,1019,518.77,0.05,492.8315,FCE89C45-B9DF-492D-900B-41B3AE34C7DA,2025-11-24 00:00:00.000
122802,242433,2,744,42.7,0.05,81.13,C811CBA2-C0BA-4A63-9EE4-EE35BB979FC4,2025-11-28 00:00:00.000
122803,242434,1,967,94.27,0.0,94.27,1784C2BB-9ED0-415B-892B-5C969A83EB64,2025-11-21 00:00:00.000
122803,242435,1,1014,68.69,0.1,61.821,DF89DC53-E19A-4E10-9C04-4D8BAC05ED83,2025-11-21 00:00:00.000
122803,242436,3,780,799.65,0.0,2398.95,2D26AB3C-6344-49D9-852F-2099D4037CB4,2025-11-21 00:00:00.000
122804,242437,1,748,433.95,0.1,390.555,58CE0314-CC37-4ACB-94F3-CA842389B533,2025-11-20 00:00:00.000
122804,242438,1,760,69.51,0.05,66.0345,29AA9790-451B-403F-9EB7-3CF1407B2B08,2025-11-20 00:00:00.000
122805,242439,1,1027,94.62,0.0,94.62,9DBFC3A0-B73A-4152-9BAB-B38101AC403C,2025-11-22 00:00:00.000
122806,242440,3,891,17.36,0.05,49.476,865A9C79-1F1F-4DC0-8946-FA089A52EA6F,2025-11-22 00:00:00.000
122806,242441,3,712,668.25,0.0,2004.75,EC86B56A-CB1F-4CEF-AC0A-3C86150793C9,2025-11-22 00:00:00.000
122806,242442,3,749,83.27,0.1,224.829,12DE21F3-6E4B-4E8A-B8F3-BDCEC6BFD114,2025-11-22 00:00:00.000
122807,242443,1,965,75.67,0.05,71.8865,00EB4181-A364-473C-922E-5DFF9A0C4A6F,2025-11-27 00:00:00.000
122807,242444,3,1060,481.61,0.1,1300.347,8E7602EF-4ABB-4D76-967A-6ADBDFBA4CCB,2025-11-27 00:00:00.000
122807,242445,2,941,60.58,0.1,109.044,75233C82-3BD0-4374-B043-0821985EF21E,2025-11-27 00:00:00.000
122807,242446,2,920,625.64,0.05,1188.716,2C839AE4-1DC5-4A1A-939F-1BF087176170,2025-11-27 00:00:00.000
122808,242447,2,808,56.96,0.0,113.92,93C6FEC1-A14A-4D37-A847-88E9874ACF78,2025-11-21 00:00:00.000
122808,242448,3,1046,38.25,0.05,109.0125,C3745763-E0BE-4526-BACB-0FA3E7178262,2025-11-21 00:00:00.000
122808,242449,3,1047,51.0,0.0,153.0,F372C329-7163-4EDC-82FE-0D47F9B6367F,2025-11-21 00:00:00.000
122809,242450,1,1118,1131.55,0.0,1131.55,77E94939-B1E4-4A6D-BA23-9CBFA3F5FFB7,2025-11-29 00:00:00.000
122809,242451,1,729,104.53,0.0,104.53,BAFB68E4-C162-433E-9062-9E5C90510350,2025-11-29 00:00:00.000
122810,242452,1,1221,366.1,0.0,366.1,3FDA1658-35FF-4CF8-B03F-17D527D8789C,2025-11-27 00:00:00.000
122810,242453,2,1094,56.18,0.0,112.36,68080412-7D9B-457E-9327-5098D40AA5C8,2025-11-27 00:00:00.000
122811,242454,2,909,77.51,0.05,147.269,AB892C98-88F7-4EA8-BB23-FD5F7C94176B,2025-11-22 00:00:00.000
122811,242455,3,1099,144.98,0.1,391.446,0DE0C66A-D1D9-4690-8FA6-29DD954A7D0B,2025-11-22 00:00:00.000
122811,242456,1,1100,518.01,0.0,518.01,D897CC4C-52E8-4190-B17C-D09C2625FB14,2025-11-22 00:00:00.000
122812,242457,3,783,325.35,0.0,976.05,D297E0ED-CE0E-4547-A588-BD382964F89B,2025-11-23 00:00:00.000
122813,242458,2,1093,85.62,0.0,171.24,3B7AC23B-6675-4B49-8A9F-2921C2FC7FAF,2025-11-21 00:00:00.000
122813,242459,1,1046,38.25,0.0,38.25,2E973876-8ACE-4FF9-8406-775A58501440,2025-11-21 00:00:00.000
122814,242460,1,759,251.85,0.05,239.2575,ECC702F4-7811-4934-BF05-EB4A74C77D25,2025-11-26 00:00:00.000
122814,242461,1,712,668.25,0.1,601.425,3736BA7C-569A-45CC-B061-D84E2B331AC1,2025-11-26 00:00:00.000
122815,242462,1,852,583.48,0.05,554.306,7BCC7DED-0B6C-4228-B9A1-AEEAF5EA79AF,2025-11-24 00:00:00.000
122815,242463,3,818,144.29,0.05,411.2265,8BF2FAA9-BAA8-4A92-AC7C-F2BD9BA6E283,2025-11-24 00:00:00.000
122815,242464,2,989,521.52,0.05,990.888,0BD9196D-EBE4-4D12-B370-198988B1B7D7,2025-11-24 00:00:00.000
122816,242465,3,1100,518.01,0.1,1398.627,F45F2359-B875-489C-B149-D1D1B3F587FF,2025-11-28 00:00:00.000
122816,242466,2,926,2754.77,0.05,5234.063,F439E4F1-6E09-48D1-B1F3-B8EA30BA6349,2025-11-28 00:00:00.000
122817,242467,2,946,50.4,0.05,95.76,DDB75DD5-218A-48BF-A1B8-DF82DC6E2BB5,2025-11-28 00:00:00.000
