SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,ShipToAddressID,BillToAddressID,ShipMethod,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
121774,1,2025-11-22 00:00:00.000,2025-12-04 00:00:00.000,2025-11-27 00:00:00.000,5,1,SO121774,PO777566696,10-4020-006723,6723,7823,8535,OVERNIGHT J-FAST,,6623.311,529.8649,39.5471,7192.723,,DAE14D07-257F-4FD9-9017-84BC7DD769B2,2025-11-22 00:00:00.000
121775,1,2025-11-28 00:00:00.000,2025-12-10 00:00:00.000,2025-12-03 00:00:00.000,5,0,SO121775,PO598693750,10-4020-009979,9979,6063,7257,OVERNIGHT J-FAST,,716.8985,57.3519,20.0841,794.3345,,2C5A8EFC-180C-4CAE-9E36-BDAEB2D4FF7B,2025-11-28 00:00:00.000
121776,1,2025-11-29 00:00:00.000,2025-12-11 00:00:00.000,2025-12-04 00:00:00.000,5,0,SO121776,PO350888770,10-4020-002411,2411,6257,4948,OVERNIGHT J-FAST,,221.454,17.7163,34.4885,273.6588,,F2D71FBB-4DAE-4910-8E14-33DC9F0CA0D1,2025-11-29 00:00:00.000
121777,1,2025-11-26 00:00:00.000,2025-12-08 00:00:00.000,2025-12-01 00:00:00.000,5,0,SO121777,PO721360641,10-4020-008178,8178,5174,7202,CARGO TRANSPORT 5,,3098.46,247.8768,19.0994,3365.4362,,409AC691-0065-4DAB-8C18-615C82AC6275,2025-11-26 00:00:00.000
121778,1,2025-11-25 00:00:00.000,2025-12-07 00:00:00.000,2025-11-30 00:00:00.000,5,1,SO121778,PO379032184,10-4020-001747,1747,1615,9202,XRQ - TRUCK GROUND,,3872.964,309.8371,30.7788,4213.5799,,472AC06D-95AB-4173-87C0-AF2B07C7F243,2025-11-25 00:00:00.000
121779,1,2025-11-27 00:00:00.000,2025-12-09 00:00:00.000,2025-12-02 00:00:00.000,5,1,SO121779,PO989788630,10-4020-008903,8903,9989,4660,CARGO TRANSPORT 5,,11125.44,890.0352,32.7957,12048.2709,,B0B599C2-8969-40D2-926D-B14322BB962B,2025-11-27 00:00:00.000
121780,1,2025-11-20 00:00:00.000,2025-12-02 00:00:00.000,2025-11-25 00:00:00.000,5,1,SO121780,PO956958607,10-4020-001652,1652,6481,897,OVERNIGHT J-FAST,,3794.2725,303.5418,13.3399,4111.1542,,C725CFEE-0CA2-4D69-AC74-B80C78810492,2025-11-20 00:00:00.000
121781,1,2025-11-23 00:00:00.000,2025-12-05 00:00:00.000,2025-11-28 00:00:00.000,5,0,SO121781,PO648373470,10-4020-002664,2664,11949,2816,XRQ - TRUCK GROUND,,6209.5695,496.7656,28.7727,6735.1078,,9420F330-1FF0-4329-9F34-FE0679D0635E,2025-11-23 00:00:00.000
121782,1,2025-11-21 00:00:00.000,2025-12-03 00:00:00.000,2025-11-26 00:00:00.000,5,1,SO121782,PO329684273,10-4020-004585,4585,7442,435,OVERNIGHT J-FAST,,460.972,36.8778,13.4175,511.2673,,EE38EEF1-5484-495D-825F-F8B18182302F,2025-11-21 00:00:00.000
121783,1,2025-11-24 00:00:00.000,2025-12-06 00:00:00.000,2025-11-29 00:00:00.000,5,0,SO121783,PO988172676,10-4020-005511,5511,3110,3085,XRQ - TRUCK GROUND,,276.754,22.1403,16.2477,315.142,,4663A911-8659-4988-B762-14D1CE109A18,2025-11-24 00:00:00.000
121784,1,2025-11-24 00:00:00.000,2025-12-06 00:00:00.000,2025-11-29 00:00:00.000,5,0,SO121784,PO606306518,10-4020-000988,988,11352,2032,XRQ - TRUCK GROUND,,2299.599,183.9679,17.8767,2501.4436,,FA5B865E-5D7A-4103-8744-450C370CE83D,2025-11-24 00:00:00.000
121785,1,2025-11-27 00:00:00.000,2025-12-09 00:00:00.000,2025-12-02 00:00:00.000,5,1,SO121785,PO537394853,10-4020-000459,459,11052,10880,OVERNIGHT J-FAST,,6990.798,559.2638,19.5027,7569.5645,,0FCA16A5-9D02-4315-B91F-67401D9AEA5F,2025-11-27 00:00:00.000
121786,1,2025-11-25 00:00:00.000,2025-12-07 00:00:00.000,2025-11-30 00:00:00.000,5,0,SO121786,PO966080826,10-4020-006912,6912,5787,2612,CARGO TRANSPORT 5,,1018.69,81.4952,25.8644,1126.0496,,3A972287-2575-4DAC-98C5-76078BB7D851,2025-11-25 00:00:00.000
121787,1,2025-11-25 00:00:00.000,2025-12-07 00:00:00.000,2025-11-30 00:00:00.000,5,1,SO121787,PO443048239,10-4020-001207,1207,6209,6781,XRQ - TRUCK GROUND,,57.12,4.5696,17.666,79.3556,,59E72A28-E4A7-417A-81D6-F5FCD3215336,2025-11-25 00:00:00.000
121788,1,2025-11-22 00:00:00.000,2025-12-04 00:00:00.000,2025-11-27 00:00:00.000,5,0,SO121788,PO397085014,10-4020-003578,3578,2596,6644,CARGO TRANSPORT 5,,997.014,79.7611,33.4018,1110.1769,,D0F71789-3EEE-46A2-9ED4-D90AC959B198,2025-11-22 00:00:00.000
121789,1,2025-11-20 00:00:00.000,2025-12-02 00:00:00.000,2025-11-25 00:00:00.000,5,0,SO121789,PO474621116,10-4020-009155,9155,11217,7233,CARGO TRANSPORT 5,,169.188,13.535,25.9115,208.6345,,729408E3-559D-4484-8114-31C65E56FE73,2025-11-20 00:00:00.000
121790,1,2025-11-20 00:00:00.000,2025-12-02 00:00:00.000,2025-11-25 00:00:00.000,5,1,SO121790,PO265271902,10-4020-005748,5748,10089,9793,XRQ - TRUCK GROUND,,3268.878,261.5102,23.3278,3553.716,,3DEC450C-96F5-44B6-87B0-BEF3C6E190F7,2025-11-20 00:00:00.000
